id_room,title,source_id,dating_original,dating_start,dating_end,room_functions,iconclasses,iconclassses_level_0,iconclassses_level_1
806,Festsaal,5dac3ff3-5baf-43b8-9333-51a55855ca5d,1765–1770,1765.0,1770.0,HALLS,"21D,23A1,25A13,25B1,25B2,25B3,25B4,25D21,25D32,25F24(CAMEL),25F37(CRANE),25F38(OSTRICH),25F43(CROCODILE),25G3,25G41,25H112,25H2130,26A,41D262,41D2632,41D26611,44G(+35),45A1,46B311,46B4941,46C21,47H6,48C5152,48C5153,48C7311,49L6451,59B32,92B11221,92B57,92B58(CADUCEUS),92B58(PETASUS),92B58(WINGEDSANDALS),92D19162,92H171,92H18(TRIDENT)","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,9,9,9,9,9,9,9,9","21,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,41,41,41,44,45,46,46,46,47,48,48,48,49,59,92,92,92,92,92,92,92,92"
830,Das Gemach der Herzogin,44740c7c-b71f-42fd-b87d-1887598c7b79,1680-1686,1680.0,1686.0,PRESENCE_CHAMBERS,25HH,2,25
839,Treppenhaus,b598d69f-4ccf-4e46-a776-36f36357dcbf,1700-1702,1700.0,1702.0,STAIRWELLS,"12EE13(SATURN),46C13185,46C14923,92B371,92B391,92B39113,92B39117","1,4,4,9,9,9,9,9","12,46,46,92,92,92,92,92"
845,Der neue Hauptsaal,7d711157-edf6-4d65-aa10-ea2c647cb132,1683-1686,1683.0,1686.0,BANQUET_HALLS,"31A25(+31),31A25(+32),31A25(+933),31A2516(+31),31A2516(+32),31A2518(+31),31A2531(+933),31A2532(+933),31A44412,31A533(FULLBOTTOMED WIG),31A534,31A5341,31AA25,41D212,41D22,41D221(ERMINE CAP),41D221(HAT),41D222(CRAVAT),41D222(ERMINE COLLAR),41D222(FRILL),41D222(LACE COLLAR),41D222(WING COLLAR),41D223,41D223(JERKIN),41D225,41D2653,41D2657,44A1,44B114(DUKE),44B114(EARL),44B114(ELECTOR),44B114(MARGRAVE),44B15121,44B1922,44B196,44B1971,44B198,45C13(SWORD),45C22,45C221,61B2(ALBRECHT - SACHSEN-COBURG, HERZOG)11(+521),61B2(ALBRECHT - SACHSEN-EISENACH, HERZOG)11(+522),61B2(BERNHARD - SACHSEN-MEININGEN, HERZOG, 1)11(+521),61B2(BERNHARD - SACHSEN-WEIMAR, HERZOG, 1)11(+522),61B2(CHRISTIAN - SACHSEN-EISENBERG, HERZOG)11(+521),61B2(DEDO - SACHSEN, GRAF, 1)11(+522),61B2(DIETMAR - SACHSEN, GRAF)11(+521),61B2(DIETRICH - LANDSBERG, MARKGRAF, 2)11(+521),61B2(DIETRICH - MEISSEN-LANDSBERG, MARKGRAF)11(+521),61B2(DIETRICH - SACHSEN, GRAF)11(+521),61B2(DITGRAM - SACHSEN, FUERST)11(+522),61B2(ERNST - SACHSEN, KURFUERST, 2)11(+521),61B2(ERNST - SACHSEN-GOTHA, HERZOG, 1, DER FROMME)11(+522),61B2(ERNST - SACHSEN-HILDBURGHAUSEN, HERZOG)11(+522),61B2(FREDERICH - SACHSEN, GRAF)11(+521),61B2(FRIEDRICH - SACHSEN, HERZOG)11(+51),61B2(FRIEDRICH - SACHSEN, KURFUERST, 3, DER WEISE)11(+522),61B2(FRIEDRICH - SACHSEN-GOTHA, HERZOG, 2)11(+522),61B2(HEINRICH - , FUERST, DER ERLAUCHTE)11(+522),61B2(HEINRICH - SACHSEN-ROEMHILD, HERZOG)11(+521),61B2(JOHANN - SACHSEN, KURFUERST, DER BESTAENDIGE)11(+521),61B2(JOHANN CASIMIR - SACHSEN-COBURG, HERZOG)11(+522),61B2(JOHANN ERNST - SACHSEN-EISENACH, HERZOG)11(+522),61B2(JOHANN ERNST - SACHSEN-SAALFELD, HERZOG)11(+522),61B2(JOHANN PHILIPP - SACHSEN-ALTENBURG, HERZOG)11(+522),61B2(JOHANN WILHELM - SACHSEN-WEIMAR, HERZOG)11(+522),61B2(JOHANNES - SACHSEN-WEIMAR, HERZOG)11(+522),61B2(KONRAD - MEISSEN-LANDSBERG, MARKGRAF, 1)11(+522),61B2(OTTO - MEISSEN, MARKGRAF, DER REICHE)11(+521),61B2(THIMO - LANDSBERG-MEISSEN, MARKGRAF)11(+522),61B2(WEDEKIND - SACHSEN, GRAF, 2)11(+521),61B2(WIDUKIND - SACHSEN, HERZOG)11(+522),61B2(WILHELM - SACHSEN-WEIMAR, HERZOG, 4)11(+521)","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6","31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61"
851,Das Vorzimmer (Raum 201),5b8ad27a-91fe-4740-b7fb-33d792b4f1b5,1764-1771,1764.0,1771.0,ANTEROOMS,"25F23,25H11,25H112,25HH1,25HH11,25HH15,25HH213,43C11,43C111241,71A25","2,2,2,2,2,2,2,2,2,4,4,4,4,7","25,25,25,25,25,25,25,25,25,43,43,43,43,71"
878,Die Schlosskirche,455ff2f4-6bc7-4afe-bfec-773ee6ee8699,"1643-1646, 1687-1697",1643.0,1697.0,ROYAL_CHAPELS_ROOMS,"11C12,11D3275,11G21,11G23,11G41(+0),11H(DONATUS),11H(JOHN),11H(LUKE),11H(MARK),11H(MATTHEW),11I41,11Q21,12B61,25G1(+22),25G3(LAUREL),25H13,25H154,26E,31A71,31A72,31AA233,31B1,33B1,34B11,41B4,42E141,42F61,44B1,44B45,44B61,45A2,45A20,45A22,45A232,45C13(SWORD),45I5,45L3,46C131,46C22(+0),47I213,49E2513,51H42,54F11,71B33221,71C118,73G211","1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,7,7,7","11,11,11,11,11,11,11,11,11,11,11,11,11,12,25,25,25,25,26,31,31,31,31,33,34,41,42,42,44,44,44,45,45,45,45,45,45,45,45,45,45,46,46,47,49,51,54,54,71,71,73"
887,Der ehem. Grottensaal,ab1fcecc-09f1-489d-b02c-3d7ffc76f61c,1712–1714,1712.0,1714.0,HALLS,"25F27(DOLPHIN),25H23,26A3,31AA,31AA(+2),92H171,92H1781,92H18(TRIDENT),92H2,92I2,92I2278","2,2,2,3,3,9,9,9,9,9,9","25,25,26,31,31,92,92,92,92,92,92"
890,Paradeschlafzimmer des Herzogs,9a5867e0-61d7-48ea-976d-b1ffc084b301,1690,1690.0,1690.0,BEDROOMS,"23R110,92D1916","2,9","23,92"
905,Das Porzellankabinett,f38d4885-2008-40b1-9788-ace4c97ade73,"1695-1699, 1723-1726",1695.0,1726.0,CABINETS_ROOMS,"23D4,23D41,23D42,23D43,23D44,31D1,31D1120,31D120,31D130,31D140,31D15,31D160,31D2(4),53C11","2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5","23,23,23,23,23,23,23,23,23,23,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,53,53"
905,Das Porzellankabinett,f38d4885-2008-40b1-9788-ace4c97ade73,"1695-1699, 1723-1726",1695.0,1726.0,GALLERIES_DISPLAY_SPACES,"23D4,23D41,23D42,23D43,23D44,31D1,31D1120,31D120,31D130,31D140,31D15,31D160,31D2(4),53C11","2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5","23,23,23,23,23,23,23,23,23,23,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,53,53"
908,Indianisches Lackkabinett,d2be8d17-daaa-42e8-972e-e0ff95700d9c,1714-1722,1714.0,1722.0,CABINETS_ROOMS,"25F,25G3,25K3,48C1","2,2,2,4","25,25,25,48"
914,Die ehemalige Garderobe,ec98a0ea-2804-49a0-bf2d-7870e14b179d,1680,1680.0,1680.0,ANTEROOMS,"11C,11I41","1,1","11,11"
926,Östliches Kabinett,327df169-c1f3-4200-a753-fabb7fd03aa0,1680/1684,1680.0,1684.0,CABINETS_ROOMS,"44B113,44B191,44B192,48A9833,48A9863,92D1916","4,4,4,4,4,9","44,44,44,48,48,92"
935,Schlafzimmer der Freiin,7deb7ebe-447d-4ca9-b82b-7440e1384c91,1698-1700,1698.0,1700.0,BEDROOMS,94P212,9,94
941,Saal,cbd53ae0-c970-11e9-b5ad-295696610c6d,1760-1762,1760.0,1762.0,HALLS,"92C4211,92K1","9,9","92,92"
947,Der ehemalige Hauptsaal,1d0f3ddf-0a71-45b8-86b5-662f0a0f704e,1730-1734,1730.0,1734.0,MAIN_HALLS,"23A33,31B71,41C5,45A233,52A6,57A75,91B1117,92B17,92B3711,92C17,92C27,92C371,92C473,92D17,92D192,92D3,92D421,92D422,92D423,92D424,92D425,92D426,92D427,92D428,92D429,92D87,92E52,92E54,92L17,92L27,92L3,92L4217,92L57,92M17,96A237,96A5(SALUS)","2,3,4,4,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9","23,31,41,45,52,57,91,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,96,96"
953,Weißer Saal,cf6ab371-6e9c-40b0-aa2b-7763fa654cc5,1727–1731,1727.0,1731.0,HALLS,"26C,59B32","2,5","26,59"
971,Treppenhaus,5152dcd0-d312-4323-82ed-ea1afedef519,1724-1729,1724.0,1729.0,STAIRWELLS,"11E1,11E541,11H(VITUS),44B10,52A2,73G2","1,1,1,4,5,7","11,11,11,44,52,73"
977,Das so genannte Spiegelgemach,eb2da33d-8ffe-4de4-8788-e3e06458c2e0,1720-1730,1720.0,1730.0,CABINETS_ROOMS,"25F3,48A9872,48AA9821,48AA98333","2,4,4,4","25,48,48,48"
986,Der Mittelsaal im Erdgeschoss,0f3afac5-517a-4b60-99b3-3a10746f1310,1732-1752,1732.0,1752.0,MAIN_HALLS,"71I323,71I334","7,7","71,71"
992,Der Hauptsaal,0a90d587-472b-47a8-88ce-4eb61c105cff,1678-1683,1678.0,1683.0,MAIN_HALLS,"92H141,96B113,96B6,96B652,96B8344,96C,96C(AENEAS)211","9,9,9,9,9,9,9,9,9,9,9","92,96,96,96,96,96,96,96,96,96,96"
995,Vorzimmer,556b3dfe-52a0-419e-aa6d-5ffd7eda5b1a,1706-1710,1706.0,1710.0,ANTEROOMS,"11Q71456,25F24(BOAR),25F33,25F37(HERON),34B1311,43C113,43C11311,43C1147,92C37,92L41","1,2,2,2,2,3,4,4,4,9,9","11,25,25,25,25,34,43,43,43,92,92"
1001,Schlafzimmer im Gästeappartement,0fec8587-834f-4187-9b31-48c971e6c829,1680/1684,1680.0,1684.0,BEDROOMS,"21B,21D,43C1281(+0),92B1711,92B3711,92C37,92C392,92D1916,93B,97CC21","2,2,4,9,9,9,9,9,9,9,9","21,21,43,92,92,92,92,92,92,93,97"
1004,Kapellenraum,9abbdb8c-31d4-4520-a4ce-fc58b1922fb0,1673-1679,1673.0,1679.0,ROYAL_CHAPELS_ROOMS,"11H(ANTONY OF PADUA),11H(JOSEPH),46A122(PREYSING)1","1,1,4","11,11,46"
1019,Das ehemalige Vorzimmer,45737570-3a2a-436a-8047-41232775667c,1680,1680.0,1680.0,ANTEROOMS,71M,7,71
1028,Das ehemalige Speisezimmer,2ba6a59d-b737-48b7-8e9e-0d1e70a30d20,1680,1680.0,1680.0,MANSION_DINING_ROOMS,52A6,5,52
1031,Das ehemalige Speisezimmer,9b6ddc56-e7c2-4971-8acf-44b51ef59270,1766-1771,1766.0,1771.0,BANQUET_HALLS,"23D41(+4),23D42(+4),23D43(+5),23D44(+4)","2,2,2,2","23,23,23,23"
1037,Schlosskapelle,fbbffdc3-3af2-453d-b07c-b5418ac0a0fe,1603-09,1603.0,1609.0,ROYAL_CHAPELS_ROOMS,"11D122,11E54,11E541,11E547,11G,11G1925,11G1926,11G21,11L14,11L2,11M31,11MM312,11U3,12B2121,12F2121,23A1,25G21,44G03,47I4223,48A9872,52A6(+1),52A6(+2),72,72B,73D,73D3141,73D81,73D82,73D82(+3),92D1916","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4,5,5,7,7,7,7,7,7,7,9","11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,23,25,25,25,25,44,47,48,48,48,52,52,72,72,73,73,73,73,73,92"
1049,Die ehemalige Garderobe,74ad7c70-75a5-44ec-8514-28e0995fb433,1680,1680.0,1680.0,ANTEROOMS,"11I32,71P4142,73F2","1,1,7,7,7,7","11,11,71,71,73,73"
1049,Die ehemalige Garderobe,74ad7c70-75a5-44ec-8514-28e0995fb433,1680,1680.0,1680.0,WARDROBES_ROOMS,"11I32,71P4142,73F2","1,1,7,7,7,7","11,11,71,71,73,73"
1058,Hauptsaal,cf4e4970-c5a9-11e9-b229-6b499a37f581,1769,1769.0,1769.0,MAIN_HALLS,"42A31,43C114,49LL71,92B1212,92B17,96A5,98B,98C","4,4,4,9,9,9,9,9","42,43,49,92,92,96,98,98"
1061,Das ehemalige Vestibül,a48be186-e5d9-4b34-a0cb-9def29598f64,1680,1680.0,1680.0,VESTIBULES,92D41,9,92
1076,Der westliche Gartensaal,4fa2c455-3cec-43a3-b573-d9ebb9ec10da,1756-1765,1756.0,1765.0,ANTEROOMS,"23D42,23D43,23D44,92B1,92C2,92L1,92L19,92L26,92M1,96A23","2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9","23,23,23,23,23,23,23,23,23,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,96,96,96,96,96,96"
1076,Der westliche Gartensaal,4fa2c455-3cec-43a3-b573-d9ebb9ec10da,1756-1765,1756.0,1765.0,LONG_GALLERIES,"23D42,23D43,23D44,92B1,92C2,92L1,92L19,92L26,92M1,96A23","2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9","23,23,23,23,23,23,23,23,23,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,96,96,96,96,96,96"
1076,Der westliche Gartensaal,4fa2c455-3cec-43a3-b573-d9ebb9ec10da,1756-1765,1756.0,1765.0,PRESENCE_CHAMBERS,"23D42,23D43,23D44,92B1,92C2,92L1,92L19,92L26,92M1,96A23","2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9","23,23,23,23,23,23,23,23,23,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,96,96,96,96,96,96"
1109,Der ehemalige Gartensaal im Erdgeschoss,e9e0f8a7-6128-4a4b-a67e-5e0a5a6db095,1788-1792,1788.0,1792.0,SALA_TERRENA,92D1916,9,92
1118,Nordwestliches Eckkabinett,2e37ffde-78c4-4a30-9854-ec95d2fd9bab,1716,1716.0,1716.0,CABINETS_ROOMS,"25F711(DRAGON-FLY),34B11,41A7751,47I4223,48C44,92C352,92C454","2,3,4,4,4,9,9","25,34,41,47,48,92,92"
1127,Schlosskirche zum Heiligen Kreuz,2c98101d-a96e-41f1-a11d-ef1d883d27d3,1720-1722,1720.0,1722.0,ROYAL_CHAPELS_ROOMS,"11D12,73E38","1,7","11,73"
1133,Die westliche Galerie,e7c56d31-14e8-476e-bb52-5f78c8645071,1710/29,1710.0,1729.0,LONG_GALLERIES,"21,21A,21C,21D,25B,25B1,25B2,25B3,25B4","2,2,2,2,2,2,2,2,2","21,21,21,21,25,25,25,25,25"
1145,Der Eingangsflur des kurfürstlichen Appartements,fe401a6b-26e7-4a56-b8ec-c02e89539e15,1696-1698,1696.0,1698.0,CORRIDORS,"96A5(JUSTITIA),96A5(PAX)","9,9","96,96"
1151,Das östliche Eckzimmer,8a74e33e-c333-4d83-a239-431c4be9a5ad,1690-1695,1690.0,1695.0,PRESENCE_CHAMBERS,"92B2,92C4","9,9","92,92"
1157,Das so genannte Hauptgemach,50e5f607-2680-4be5-b39d-756ddb116d9a,1696,1696.0,1696.0,MAIN_HALLS,21,2,21
1172,Der Glockenspielsaal,eb1578c6-7c50-44e5-ad77-8891714bf46e,1729–1733,1729.0,1733.0,HALLS,"24A,44A51,92B371","2,4,9","24,44,92"
1175,Das Kabinett am Schlafzimmer des Clemens August,f5ce3888-e4a9-4d01-9f0f-77821daf2afd,1737-1747,1737.0,1747.0,CABINETS_ROOMS,"11P3162,25F23,43C11,48C30,49C0,61B2(+2),92B38(LYRE),92B58,92D1916","1,2,4,4,4,6,9,9,9","11,25,43,48,49,61,92,92,92"
1181,Das Kabinett der Herzogin,7a909396-c35a-4cde-a558-5b281616a623,1680-1686,1680.0,1686.0,CABINETS_ROOMS,25HH,2,25
1184,Saal im ersten Obergeschoss,a6ad4de1-f681-475f-81c5-f3ac4507ca29,1732,1732.0,1732.0,HALLS,9,9,9
1190,Treppenhaus,a19051f0-ca5d-11e9-b3c7-c1f35c95f583,1782-1791,1782.0,1791.0,STAIRWELLS,92D1916,9,92
1205,Der Barocksaal,80f5ab23-807e-4855-a976-390e7306c325,1690,1690.0,1690.0,MAIN_HALLS,"11K,11M44,11N1,11R511,59B32,92B34,93E3(+7),94I136,94I181,94L3322,94L41111,95A(ICARUS)68,95B(ATALANTE)2111,97O6","1,1,1,1,5,9,9,9,9,9,9,9,9,9","11,11,11,11,59,92,93,94,94,94,94,95,95,97"
